Country,Population(mil),Cases,Cases/mil,Deaths,Deaths/Cases(%),Deaths/mil,Recoveries,Recoveries/Cases(%),Recoveries/mil
US,329.1,1600937,4865.1,95979,6.0,291.7,350135,21.9,1064.0
Brazil,211.0,330890,1567.8,21048,6.4,99.7,135430,40.9,641.7
Russia,145.9,326448,2237.9,3249,1.0,22.3,99825,30.6,684.3
United Kingdom,67.5,255544,3784.1,36475,14.3,540.1,1142,0.4,16.9
Spain,46.7,234824,5024.4,28628,12.2,612.5,150376,64.0,3217.5
Italy,60.6,228658,3776.3,32616,14.3,538.7,136720,59.8,2258.0
France,65.1,182015,2794.7,28218,15.5,433.3,63986,35.2,982.4
Germany,83.5,179710,2151.8,8228,4.6,98.5,159064,88.5,1904.6
Turkey,83.4,154500,1851.9,4276,2.8,51.3,116111,75.2,1391.7
Iran,82.9,131652,1587.8,7300,5.5,88.0,102276,77.7,1233.5
India,1366.4,124794,91.3,3726,3.0,2.7,51824,41.5,37.9
Peru,32.5,111698,3435.8,3244,2.9,99.8,44848,40.2,1379.5
China,1433.8,84081,58.6,4638,5.5,3.2,79332,94.4,55.3
Canada,37.4,83947,2243.9,6360,7.6,170.0,42608,50.8,1138.9
Saudi Arabia,34.3,67719,1976.1,364,0.5,10.6,39003,57.6,1138.2
Mexico,127.6,62527,490.1,6989,11.2,54.8,42191,67.5,330.7
Chile,19.0,61857,3263.9,630,1.0,33.2,25342,41.0,1337.2
Belgium,11.5,56511,4897.3,9212,16.3,798.3,15123,26.8,1310.6
Pakistan,216.6,50694,234.1,1067,2.1,4.9,15201,30.0,70.2
Netherlands,17.1,45088,2637.2,5807,12.9,339.6,174,0.4,10.2
Qatar,2.8,40481,14293.8,19,0.0,6.7,7893,19.5,2787.0
Ecuador,17.4,35828,2062.2,3056,8.5,175.9,3557,9.9,204.7
Belarus,9.5,34303,3629.0,190,0.6,20.1,12833,37.4,1357.6
Sweden,10.0,32809,3269.0,3925,12.0,391.1,4971,15.2,495.3
Switzerland,8.6,30707,3574.2,1903,6.2,221.5,27900,90.9,3247.4
Singapore,5.8,30426,5241.9,23,0.1,4.0,12995,42.7,2238.8
Bangladesh,163.0,30205,185.3,432,1.4,2.6,6190,20.5,38.0
Portugal,10.2,30200,2953.2,1289,4.3,126.0,7590,25.1,742.2
United Arab Emirates,9.8,27892,2854.7,241,0.9,24.7,13798,49.5,1412.2
Ireland,4.9,24506,5019.2,1592,6.5,326.1,21060,85.9,4313.4
Indonesia,270.6,20796,76.8,1326,6.4,4.9,5057,24.3,18.7
Poland,37.9,20619,544.2,982,4.8,25.9,8731,42.3,230.4
Ukraine,44.0,20148,458.0,588,2.9,13.4,6585,32.7,149.7
South Africa,58.6,20125,343.7,397,2.0,6.8,10104,50.2,172.5
Kuwait,4.2,19564,4650.3,138,0.7,32.8,5515,28.2,1310.9
Colombia,50.3,19131,380.0,682,3.6,13.5,4575,23.9,90.9
Romania,19.4,17712,914.7,1166,6.6,60.2,10777,60.8,556.5
Israel,8.5,16690,1959.1,279,1.7,32.7,13915,83.4,1633.3
Japan,126.9,16513,130.2,796,4.8,6.3,13005,78.8,102.5
Austria,9.0,16436,1835.4,635,3.9,70.9,15005,91.3,1675.6
Egypt,100.4,15786,157.2,707,4.5,7.0,4374,27.7,43.6
Dominican Republic,10.7,13989,1302.6,456,3.3,42.5,7572,54.1,705.1
Philippines,108.1,13597,125.8,857,6.3,7.9,3092,22.7,28.6
Denmark,5.8,11428,1979.9,561,4.9,97.2,9962,87.2,1726.0
South Korea,51.2,11165,218.0,266,2.4,5.2,10194,91.3,199.0
Serbia,8.8,11024,1256.7,237,2.1,27.0,5541,50.3,631.7
Argentina,44.8,10649,237.8,433,4.1,9.7,3062,28.8,68.4
Panama,4.2,10267,2417.8,295,2.9,69.5,6275,61.1,1477.7
Afghanistan,38.0,9216,242.3,205,2.2,5.4,996,10.8,26.2
Czechia,10.7,8813,824.5,312,3.5,29.2,6025,68.4,563.7
Bahrain,1.6,8414,5126.8,12,0.1,7.3,4096,48.7,2495.8
Norway,5.4,8332,1549.0,235,2.8,43.7,7727,92.7,1436.6
Kazakhstan,18.6,7919,426.9,35,0.4,1.9,4096,51.7,220.8
Algeria,43.1,7918,183.9,582,7.4,13.5,4256,53.8,98.9
Morocco,36.5,7332,201.0,197,2.7,5.4,4377,59.7,120.0
Nigeria,201.0,7261,36.1,221,3.0,1.1,2007,27.6,10.0
Malaysia,31.9,7137,223.4,115,1.6,3.6,5859,82.1,183.4
Australia,25.2,7099,281.7,101,1.4,4.0,6485,91.4,257.3
Moldova,4.0,6847,1693.4,237,3.5,58.6,3369,49.2,833.2
Oman,5.0,6794,1365.6,34,0.5,6.8,1821,26.8,366.0
Finland,5.5,6537,1181.6,306,4.7,55.3,4800,73.4,867.7
Ghana,30.4,6486,213.2,31,0.5,1.0,1951,30.1,64.1
Armenia,3.0,5928,2004.2,74,1.2,25.0,2874,48.5,971.7
Bolivia,11.5,5579,484.6,230,4.1,20.0,575,10.3,49.9
Cameroon,25.9,4400,170.0,159,3.6,6.1,1822,41.4,70.4
Luxembourg,0.6,3981,6465.5,109,2.7,177.0,3748,94.1,6087.1
Iraq,39.3,3964,100.8,147,3.7,3.7,2532,63.9,64.4
Azerbaijan,10.0,3855,383.7,46,1.2,4.6,2399,62.2,238.8
Hungary,9.7,3678,379.8,476,12.9,49.1,1587,43.1,163.9
Honduras,9.7,3477,356.8,167,4.8,17.1,439,12.6,45.0
Sudan,42.8,3378,78.9,137,4.1,3.2,372,11.0,8.7
Guinea,12.8,3067,240.1,19,0.6,1.5,1575,51.4,123.3
Thailand,69.6,3037,43.6,56,1.8,0.8,2910,95.8,41.8
Uzbekistan,33.0,3028,91.8,13,0.4,0.4,2492,82.3,75.6
Senegal,16.3,2909,178.5,33,1.1,2.0,1311,45.1,80.4
Greece,10.5,2874,274.4,169,5.9,16.1,1374,47.8,131.2
Guatemala,17.6,2743,156.0,51,1.9,2.9,222,8.1,12.6
Tajikistan,9.3,2551,273.7,44,1.7,4.7,1089,42.7,116.8
Bosnia and Herzegovina,3.3,2372,718.6,141,5.9,42.7,1614,68.0,488.9
Bulgaria,7.0,2372,338.9,125,5.3,17.9,769,32.4,109.9
Côte d'Ivoire,25.7,2341,91.0,29,1.2,1.1,1146,49.0,44.6
Djibouti,1.0,2270,2331.6,10,0.4,10.3,1064,46.9,1092.9
Croatia,4.1,2243,543.1,99,4.4,24.0,2011,89.7,486.9
Congo (Kinshasa),86.8,1945,22.4,63,3.2,0.7,312,16.0,3.6
North Macedonia,2.1,1921,922.0,112,5.8,53.8,1387,72.2,665.7
Cuba,11.3,1916,169.1,81,4.2,7.1,1631,85.1,143.9
Estonia,1.3,1807,1363.1,64,3.5,48.3,1508,83.5,1137.6
Iceland,0.3,1803,5318.1,10,0.6,29.5,1791,99.3,5282.7
Gabon,2.2,1728,795.4,12,0.7,5.5,402,23.3,185.0
El Salvador,6.5,1725,267.3,33,1.9,5.1,570,33.0,88.3
Lithuania,2.8,1604,581.2,61,3.8,22.1,1111,69.3,402.6
Somalia,15.4,1594,103.2,61,3.8,4.0,204,12.8,13.2
New Zealand,4.8,1504,314.4,21,1.4,4.4,1455,96.7,304.2
Slovakia,5.5,1503,275.4,28,1.9,5.1,1256,83.6,230.2
Slovenia,2.1,1468,706.2,106,7.2,51.0,1340,91.3,644.6
Kyrgyzstan,6.4,1350,210.4,14,1.0,2.2,939,69.6,146.4
Maldives,0.5,1274,2399.5,4,0.3,7.5,109,8.6,205.3
Kenya,52.6,1161,22.1,50,4.3,1.0,380,32.7,7.2
Guinea-Bissau,1.9,1114,579.9,6,0.5,3.1,42,3.8,21.9
Lebanon,6.9,1086,158.4,26,2.4,3.8,663,61.0,96.7
Sri Lanka,21.3,1068,50.1,9,0.8,0.4,620,58.1,29.1
Tunisia,11.7,1048,89.6,47,4.5,4.0,903,86.2,77.2
Latvia,1.9,1030,540.2,22,2.1,11.5,712,69.1,373.4
Kosovo,N/A,1004,N/A,29,2.9,N/A,772,76.9,N/A
Albania,2.9,981,340.5,31,3.2,10.8,777,79.2,269.7
Mali,19.7,969,49.3,62,6.4,3.2,560,57.8,28.5
Equatorial Guinea,1.4,960,708.0,11,1.1,8.1,165,17.2,121.7
Venezuela,28.5,944,33.1,10,1.1,0.4,262,27.8,9.2
Niger,23.3,937,40.2,60,6.4,2.6,764,81.5,32.8
